2,3,146
2,4,81
2,2,70
2,5,70
2,7,66
2,6,53
2,8,47
2,10,38
2,12,27
2,9,26
2,14,25
2,13,23
2,11,22
2,15,15
2,16,8
2,19,3
2,23,3
2,17,2
2,18,2
2,26,2
2,36,2
2,20,1
2,21,1
2,40,1
3,4,156
3,5,117
3,6,88
3,7,72
3,3,58
3,9,47
3,10,41
3,8,40
3,11,37
3,12,31
3,13,29
3,14,26
3,15,6
3,16,6
3,17,4
3,21,1
3,24,1
3,27,1
3,32,1
3,33,1
3,35,1
4,5,132
4,6,106
4,7,84
4,4,83
4,8,78
4,11,54
4,10,37
4,13,37
4,9,36
4,12,34
4,14,29
4,15,17
4,16,12
4,17,3
4,18,3
4,20,3
4,30,3
4,19,2
4,34,2
4,23,1
4,32,1
4,35,1
4,36,1
4,39,1
5,7,163
5,6,116
5,8,93
5,9,85
5,10,68
5,5,59
5,11,58
5,13,51
5,12,37
5,14,36
5,15,28
5,16,11
5,18,6
5,19,6
5,20,5
5,17,4
5,32,4
5,26,3
5,30,2
5,22,1
5,23,1
5,25,1
5,27,1
5,34,1
6,7,164
6,8,119
6,9,75
6,6,57
6,10,54
6,11,45
6,12,41
6,13,33
6,14,29
6,15,18
6,17,6
6,20,5
6,19,4
6,16,3
6,26,3
6,27,2
6,34,2
6,21,1
7,8,252
7,9,140
7,10,107
7,11,86
7,13,76
7,12,73
7,7,70
7,14,40
7,15,26
7,16,12
7,17,10
7,18,10
7,47,5
7,20,4
7,24,4
7,27,4
7,19,3
7,22,2
7,23,2
7,29,2
7,31,2
7,25,1
7,26,1
7,30,1
7,32,1
8,9,212
8,10,120
8,11,83
8,12,75
8,8,71
8,14,69
8,13,67
8,15,50
8,16,17
8,18,14
8,17,8
8,20,5
8,22,5
8,24,5
8,32,5
8,44,5
8,21,4
8,23,4
8,34,4
8,29,3
8,30,3
8,35,3
8,41,3
8,19,2
8,28,2
8,39,2
8,25,1
8,26,1
8,27,1
9,10,186
9,11,100
9,9,93
9,12,74
9,13,74
9,14,64
9,15,53
9,16,26
9,18,13
9,17,9
9,19,7
9,21,5
9,20,4
9,26,3
9,33,3
9,24,2
9,30,2
9,40,2
9,22,1
9,25,1
9,29,1
9,31,1
9,35,1
10,11,157
10,13,82
10,10,80
10,12,68
10,15,67
10,14,62
10,16,34
10,17,31
10,18,23
10,20,11
10,21,9
10,19,5
10,34,5
10,22,3
10,26,3
10,23,2
10,27,2
10,30,2
10,25,1
10,29,1
10,31,1
10,32,1
10,33,1
10,39,1
10,43,1
